name,url,ingredients
Pippin No. 2,https://www.diffordsguide.com/cocktails/recipe/19656/pippin-no-2,"['Gin', 'Rouge aromatised wine', 'Maraschino liqueur', 'Red bitter liqueur']"
Freezer Martini,https://www.diffordsguide.com/cocktails/recipe/29320/freezer-martini,"['Gin', 'Dry vermouth', 'Chilled water', 'Saline solution 4:1']"
Affinity,https://www.diffordsguide.com/cocktails/recipe/19/affinity,"['Scotch whisky', 'Vermouth amaro', 'Dry vermouth', 'Aromatic bitters']"
Aged Honey Daiquiri,https://www.diffordsguide.com/cocktails/recipe/24/aged-honey-daiquiri,"['Aged rum (6-10yr)', 'Lime juice', 'Honey syrup (3:1)', 'Chilled water']"
Air Mail,https://www.diffordsguide.com/cocktails/recipe/27/air-mail,"['Light gold rum 1-3yo', 'Lime juice', 'Honey syrup (3:1)', 'Brut sparkling wine']"
Barbary Coast,https://www.diffordsguide.com/cocktails/recipe/170/barbary-coast,"['Scotch whisky', 'Gin', 'White crème de cacao', 'Cream']"
Blood and Sand (Classic formula),https://www.diffordsguide.com/cocktails/recipe/244/blood-and-sand-classic-formula,"['Scotch whisky', 'Cherry brandy', 'Rosso/sweet vermouth', 'Orange juice']"
Bradford Martini,https://www.diffordsguide.com/cocktails/recipe/303/bradford-martini,"['Gin', 'Dry vermouth', 'Orange bittersoptional']"
Caipirinha,https://www.diffordsguide.com/cocktails/recipe/354/caipirinha,"['Lime (fresh)', 'Powdered sugar', 'Chilled water', 'Cachaça']"
Genever Collins,https://www.diffordsguide.com/cocktails/recipe/458/genever-collins,"['Oude genever', 'Lemon juice', 'Sugar syrup (2:1)', 'Soda (club soda) water']"
Blood and Sand (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/556/blood-and-sand-diffords-recipe,"['Scotch whisky', 'Cherry brandy', 'Rosso/sweet vermouth', 'Peated whisk(e)yoptional', 'Orange juice']"
Canchànchara,https://www.diffordsguide.com/cocktails/recipe/570/canchanchara,"['Light gold rum 1-3yo', 'Lime juice', 'Honey syrup (3:1)']"
Añejo Old Fashioned,https://www.diffordsguide.com/cocktails/recipe/3381/anejo-old-fashioned,"['Añejo tequila', 'Agave syrup', 'Margarita Bitters']"
Bamboo (Difford's 'Perfect' recipe),https://www.diffordsguide.com/cocktails/recipe/3388/bamboo-diffords-perfect-recipe,"['Fino sherry', 'Dry vermouth', 'Bianco/blanc/blanco vermouth', 'Rosso/sweet vermouth', 'Orange bitters']"
Dry Ice Martini,https://www.diffordsguide.com/cocktails/recipe/675/dry-ice-martini,"['Vodka', 'Dry vermouth', 'Canadian icewine']"
East India No.2,https://www.diffordsguide.com/cocktails/recipe/687/east-india-no2,"['Cognac (brandy)', 'Orange Curaçao', 'Pineapple juice', 'Pineapple syrup', 'Aromatic bitters']"
El Presidente,https://www.diffordsguide.com/cocktails/recipe/701/el-presidente,"['Light gold rum 1-3yo', 'Dry vermouth', 'Orange Curaçao', 'Grenadine syrup', 'Saline solution 4:1']"
Episcopal,https://www.diffordsguide.com/cocktails/recipe/721/episcopal,"['Chartreuse Green', 'Chartreuse Yellow']"
Espresso Martini,https://www.diffordsguide.com/cocktails/recipe/725/espresso-martini,"['Vodka', 'Espresso coffee (hot)', 'Coffee liqueur', 'Saline solution 4:1optional']"
Dry Martini (15:5 dumped) Franklin,https://www.diffordsguide.com/cocktails/recipe/787/dry-martini-155-dumped-franklin,"['Gin', 'Dry vermouth', 'Orange bitters']"
French 75,https://www.diffordsguide.com/cocktails/recipe/790/french-75,"['Lemon juice', 'Powdered sugar', 'Gin', 'Brut sparkling wine']"
Garibaldi,https://www.diffordsguide.com/cocktails/recipe/825/garibaldi,"['Red bitter liqueur', 'Sugar syrup (2:1)', 'Orange juice']"
Gimlet (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/831/gimlet-diffords-recipe,"['Gin', 'Lime cordial', 'Oude genever', 'Lime juice', 'Lemon juice', 'Sugar syrup (2:1)']"
Gin & Tonic,https://www.diffordsguide.com/cocktails/recipe/835/gin-and-tonic,"['Gin', 'Tonic water']"
Grog,https://www.diffordsguide.com/cocktails/recipe/920/grog,"['Navy rum (ideally 54.5% alc./vol.)', 'Lime juice', 'Sugar syrup (2:1)', 'Chilled water', 'Aromatic bitters']"
Honeysuckle Daiquiri,https://www.diffordsguide.com/cocktails/recipe/970/honeysuckle-daiquiri,"['Light gold rum 1-3yo', 'Lemon juice', 'Orange juice', 'Honey syrup (3:1)']"
Irish Coffee,https://www.diffordsguide.com/cocktails/recipe/1021/irish-coffee,"['Irish whiskey', 'Brown sugar syrup', 'Hot filter coffee', 'Heavy/double cream']"
Jack Dempsey,https://www.diffordsguide.com/cocktails/recipe/1035/jack-dempsey,"['Light white rum', 'Gin', 'Lemon juice', 'Sugar syrup (2:1)', 'Chilled water', 'Saline solution 4:1']"
Julep (Generic Name),https://www.diffordsguide.com/cocktails/recipe/1075/julep-generic-name,"['Mint leaves', 'Spirit', 'Sugar syrup (2:1)', 'Aromatic bitters']"
Dantes in Fernet,https://www.diffordsguide.com/cocktails/recipe/3374/dantes-in-fernet,"['Speyside single malt', 'Fernet liqueur', 'Blood orange juice', 'Maple syrup', 'Xocolatl mole bitters']"
Dublin Minstrel,https://www.diffordsguide.com/cocktails/recipe/3440/dublin-minstrel,"['Irish whiskey', 'Chartreuse Green', 'Maraschino liqueur', 'Lime juice']"
Mai Tai (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/1221/mai-tai-diffords-recipe,"['Aged rum (6-10yr)', 'Pineapple rum', 'Orange Curaçao', 'Lime juice', 'Orgeat syrup', 'Amaretto liqueur', 'Falernum liqueur', 'White crème de menthe', 'Absinthe', 'Saline solution 4:1']"
Beer on-the-rocks,https://www.diffordsguide.com/cocktails/recipe/3458/beer-on-the-rocks,"['Byrrh', 'British bitter ale']"
Manhattan (Sweet),https://www.diffordsguide.com/cocktails/recipe/1247/manhattan-sweet,"['Bourbon whiskey', 'Rye whiskey 50% abv', 'Rosso/sweet vermouth', 'Aromatic bitters']"
Margarita (straight-up),https://www.diffordsguide.com/cocktails/recipe/1254/margarita-straight-up,"['Blanco tequila', 'Cointreau/Triple sec', 'Lime juice', 'Agave syrup', 'Margarita Bittersoptional']"
Mint Julep Cocktail,https://www.diffordsguide.com/cocktails/recipe/1330/mint-julep-cocktail,"['Mint leaves', 'Bourbon whiskey', 'Sugar syrup (2:1)', 'Aromatic bitters']"
Mojito Cocktail,https://www.diffordsguide.com/cocktails/recipe/1341/mojito-cocktail,"['Mint leaves', 'Light gold rum 1-3yo', 'Lime juice', 'Sugar syrup (2:1)', 'Soda (club soda) water']"
Old Fashioned Cocktail (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/1427/old-fashioned-cocktail-diffords-recipe,"['Bourbon whiskey', 'Rye whiskey 50% abv', 'Brown sugar syrup', ""Abbott's bitters"", 'Saline solution 4:1']"
Pisco Punch (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/1557/pisco-punch-diffords-recipe,"['Clove', 'Pisco', 'Pineapple juice', 'Orange juice', 'Lemon juice', 'Sugar syrup (2:1)', 'Brut sparkling wine']"
Pisco Sour (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/1563/pisco-sour-diffords-recipe,"['Pisco', 'Lime juice', 'Lemon juice', 'Sugar syrup (2:1)', 'Egg white (pasteurised)', 'Orange flower water', 'Saline solution 4:1']"
Polish Martini,https://www.diffordsguide.com/cocktails/recipe/1579/polish-martini,"['Vodka', 'Bison grass vodka', 'Krupnik liqueur', 'Apple juice']"
Ramos Gin Fizz,https://www.diffordsguide.com/cocktails/recipe/1628/ramos-gin-fizz,"['Old Tom gin', 'Lemon juice', 'Lime juice', 'Sugar syrup (2:1)', 'Orange flower water', 'Vanilla extractoptional', 'Egg white', 'Cream', 'Soda (club soda) water']"
Royal Bermuda Yacht Club,https://www.diffordsguide.com/cocktails/recipe/1701/royal-bermuda-yacht-club,"['Light gold rum 1-3yo', 'Falernum liqueur', 'Orange Curaçao', 'Lime juice', 'Sugar syrup (2:1)']"
Royal Mojito,https://www.diffordsguide.com/cocktails/recipe/1703/royal-mojito,"['Mint leaves', 'Light gold rum 1-3yo', 'Lime juice', 'Sugar syrup (2:1)', 'Brut sparkling wine']"
Rum Punch,https://www.diffordsguide.com/cocktails/recipe/1712/rum-punch,"['White overproof rum', 'Lime juice', 'Sugar syrup (2:1)', 'Aromatic bitters', 'Chilled water']"
Satan's Whiskers (Straight),https://www.diffordsguide.com/cocktails/recipe/1748/satans-whiskers-straight,"['Gin', 'Dry vermouth', 'Rosso/sweet vermouth', 'Grand Marnier', 'Orange juice', 'Orange bitters']"
Sazerac (Difford's split base),https://www.diffordsguide.com/cocktails/recipe/1752/sazerac-diffords-split-base,"['Absinthe', 'Chilled water', 'Cognac (brandy)', 'Rye whiskey 50% abv', 'Bourbon whiskey', 'Sugar syrup (2:1)', 'Creole bitters', 'Aromatic bitters']"
Silk Stocking,https://www.diffordsguide.com/cocktails/recipe/1774/silk-stocking,"['Blanco tequila', 'White crème de cacao', 'Grenadine syrup', 'Cream']"
Spritz Al Bitter (Spritz Veneziano),https://www.diffordsguide.com/cocktails/recipe/1861/spritz-al-bitter-spritz-veneziano,"['Prosecco', 'Red bitter liqueur', 'Soda (club soda) water']"
San Francisco (Café Royal),https://www.diffordsguide.com/cocktails/recipe/4727/san-francisco-cafe-royal,"['Sloe gin liqueur', 'Dry vermouth', 'Rosso/sweet vermouth', 'Orange bitters', 'Aromatic bitters']"
Tommy's Margarita,https://www.diffordsguide.com/cocktails/recipe/1975/tommys-margarita,"['Reposado tequila', 'Lime juice', 'Agave syrup', 'Margarita Bittersoptional']"
Twentieth Century,https://www.diffordsguide.com/cocktails/recipe/2006/twentieth-century,"['Gin', 'White crème de cacao', 'Americano bianco', 'Lemon juice', 'Saline solution 4:1']"
Vieux Carré Cocktail,https://www.diffordsguide.com/cocktails/recipe/2048/vieux-carre-cocktail,"['Rye whiskey 50% abv', 'Cognac (brandy)', 'Rosso/sweet vermouth', 'Bénédictine D.O.M.', 'Creole bitters', 'Aromatic bitters']"
Whiskey Sour (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/2083/whiskey-sour-diffords-recipe,"['Bourbon whiskey', 'Lemon juice', 'Sugar syrup (2:1)', 'Aromatic bitters', 'Saline solution 4:1', 'Egg white (pasteurised)']"
Addington,https://www.diffordsguide.com/cocktails/recipe/2135/addington,"['Dry vermouth', 'Rosso/sweet vermouth', 'Soda (club soda) water']"
Bacardi Special,https://www.diffordsguide.com/cocktails/recipe/2143/bacardi-special,"['Light white rum', 'Gin', 'Lime juice', 'Grenadine syrup', 'Sugar syrup (2:1)', 'Chilled water']"
Daiquiri No. 1 (Embury's 8:2:1 formula),https://www.diffordsguide.com/cocktails/recipe/2153/daiquiri-no-1-emburys-821-formula,"['Aged rum (6-10yr)', 'Lime juice', 'Sugar syrup (2:1)', 'Vanilla bitters']"
Frank Sullivan Cocktail,https://www.diffordsguide.com/cocktails/recipe/2167/frank-sullivan-cocktail,"['Cognac (brandy)', 'Cointreau/Triple sec', 'Blanc quinquina/kina', 'Aromatized wine', 'Lemon juice']"
Highball (Generic Name),https://www.diffordsguide.com/cocktails/recipe/2179/highball-generic-name,"['Spirit', 'Mixer (carbonated)']"
Punch (Generic Name),https://www.diffordsguide.com/cocktails/recipe/2194/punch-generic-name,"['Citrus juice', 'Sugar syrup (2:1)', 'Spirit', 'Fruit juice ', 'Aromatic bitters']"
Anejo Manhattan,https://www.diffordsguide.com/cocktails/recipe/2249/anejo-manhattan,"['Añejo tequila', 'Rosso/sweet vermouth', 'Aromatic bitters', 'Orange bitters']"
Barney Barnato Cocktail,https://www.diffordsguide.com/cocktails/recipe/2274/barney-barnato-cocktail,"['Cognac (brandy)', 'Blanc quinquina/kina', 'Aromatized wine', 'Orange Curaçao', 'Aromatic bitters']"
Bloody Mary (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/2307/bloody-mary-diffords-recipe,"['Yellow bell pepperoptional', 'Vodka', 'Tomato juice', 'Amontillado sherry', 'Lemon juice', 'Sugar syrup (2:1)', 'Celery salt', 'Black pepper', 'Hot pepper sauce', 'Worcestershire sauce']"
Breakfast Club,https://www.diffordsguide.com/cocktails/recipe/2320/breakfast-club,"['Orange marmalade', 'Honey', 'Light white rum', 'Cold Lapsang Souchong']"
Daiquiri (on-the-rocks),https://www.diffordsguide.com/cocktails/recipe/2365/daiquiri-on-the-rocks,"['Light gold rum 1-3yo', 'Lime juice', 'Sugar syrup (2:1)', 'Daiquiri bittersoptional']"
Ford Cocktail,https://www.diffordsguide.com/cocktails/recipe/3379/ford-cocktail,"['Old Tom gin', 'Dry vermouth', 'Bénédictine D.O.M.', 'Orange bitters']"
Daiquiri (frozen),https://www.diffordsguide.com/cocktails/recipe/2366/daiquiri-frozen,"['Light gold rum 1-3yo', 'Lime juice', 'Sugar syrup (2:1)', 'Maraschino liqueur']"
Daiquiri No. 3,https://www.diffordsguide.com/cocktails/recipe/2367/daiquiri-no-3,"['Light gold rum 1-3yo', 'Lime juice', 'Sugar syrup (2:1)', 'Pink grapefruit juice', 'Maraschino liqueur']"
